Неисправность источника питания	C2000-Adem	0
Восстановление источника питания	C2000-Adem	0
Перезапуск устройства	C2000-Adem	0
Потерян контакт с устройством	C2000-Adem	0
Восстановление контакта с устройством	C2000-Adem	0
Подмена устройства	C2000-Adem	0
Изменение состояния	C2000-Adem	0
Изменение состояния	C2000-BIOAccess	0
Локальное программирование	C2000-BIOAccess	0
Взлом корпуса	C2000-BIOAccess	0
Восстановление корпуса	C2000-BIOAccess	0
Неисправность источника питания	C2000-BIOAccess	0
Подмена устройства	C2000-BIOAccess	0
Восстановление источника питания	C2000-BIOAccess	0
Перезапуск устройства	C2000-BIOAccess	0
Потерян контакт с устройством	C2000-BIOAccess	0
Восстановление контакта с устройством	C2000-BIOAccess	0
Восстановление контакта с устройством	C2000-Ethernet	0
Потерян контакт с устройством	C2000-Ethernet	0
Перезапуск устройства	C2000-Ethernet	0
Восстановление источника питания	C2000-Ethernet	0
Подмена устройства	C2000-Ethernet	0
Неисправность источника питания	C2000-Ethernet	0
Восстановление корпуса	C2000-Ethernet	0
Взлом корпуса	C2000-Ethernet	0
Локальное программирование	C2000-Ethernet	0
Изменение состояния	C2000-Ethernet	0
Изменение состояния	C2000-PGE	0
Восстановление контакта с устройством	C2000-PGE	0
Подмена устройства	C2000-PGE	0
Журнал заполнен	C2000-PGE	0
Журнал переполнен	C2000-PGE	0
Неисправность канала связи	C2000-PGE	0
Восстановление канала связи	C2000-PGE	0
Взлом корпуса	C2000-PGE	0
Восстановление корпуса	C2000-PGE	0
Неисправность источника питания	C2000-PGE	0
Восстановление источника питания	C2000-PGE	0
Перезапуск устройства	C2000-PGE	0
Потерян контакт с устройством	C2000-PGE	0
Перезапуск устройства	C2000-БКИ	0
Потерян контакт с устройством	C2000-БКИ	0
Подмена устройства	C2000-БКИ	0
Восстановление контакта с устройством	C2000-БКИ	0
Отключение звука	C2000-БКИ	0
Взлом корпуса	C2000-БКИ	0
Восстановление корпуса	C2000-БКИ	0
Изменение состояния	C2000-БКИ	0
Подмена устройства	C2000-ИТ	0
Изменение состояния	C2000-ИТ	0
Потерян контакт с устройством	C2000-ИТ	0
Восстановление контакта с устройством	C2000-ИТ	0
Восстановление источника питания	C2000-ИТ	0
Перезапуск устройства	C2000-ИТ	0
Восстановление корпуса	C2000-ИТ	0
Неисправность источника питания	C2000-ИТ	0
Восстановление канала связи	C2000-ИТ	0
Взлом корпуса	C2000-ИТ	0
Журнал переполнен	C2000-ИТ	0
Неисправность канала связи	C2000-ИТ	0
Журнал заполнен	C2000-ИТ	0
Восстановление контакта с устройством	GSM модем	0
Потерян контакт с устройством	GSM модем	0
Изменение состояния	Весовой терминал	0
Локальное программирование	Весовой терминал	0
Взлом корпуса	Весовой терминал	0
Восстановление корпуса	Весовой терминал	0
Неисправность источника питания	Весовой терминал	0
Подмена устройства	Весовой терминал	0
Восстановление источника питания	Весовой терминал	0
Перезапуск устройства	Весовой терминал	0
Потерян контакт с устройством	Весовой терминал	0
Восстановление контакта с устройством	Весовой терминал	0
Восстановление батареи	МИП-12	0
Неисправность батареи	МИП-12	0
Изменение состояния	МИП-12	0
Требуется обслуживание	МИП-12	0
Ошибка теста АКБ	МИП-12	0
Разряд батареи	МИП-12	0
Вход отключен	МИП-12	0
Вход включен	МИП-12	0
Вход включен	МИП-24	0
Вход отключен	МИП-24	0
Разряд батареи	МИП-24	0
Ошибка теста АКБ	МИП-24	0
Требуется обслуживание	МИП-24	0
Изменение состояния	МИП-24	0
Неисправность батареи	МИП-24	0
Восстановление батареи	МИП-24	0
Изменение состояния	Поток-3Н	0
Подмена устройства	Поток-3Н	0
Восстановление корпуса	Поток-3Н	0
Перезапуск устройства	Поток-3Н	0
Потерян контакт с устройством	Поток-3Н	0
Восстановление контакта с устройством	Поток-3Н	0
Ошибка при автоматическом тестировании	Поток-3Н	0
Запуск внутреннего теста	Поток-3Н	0
Взлом корпуса	Поток-3Н	0
Взлом корпуса	Поток-3Н(вер. > 1.03)	103
Запуск внутреннего теста	Поток-3Н(вер. > 1.03)	103
Ошибка при автоматическом тестировании	Поток-3Н(вер. > 1.03)	103
Восстановление контакта с устройством	Поток-3Н(вер. > 1.03)	103
Потерян контакт с устройством	Поток-3Н(вер. > 1.03)	103
Перезапуск устройства	Поток-3Н(вер. > 1.03)	103
Восстановление корпуса	Поток-3Н(вер. > 1.03)	103
Подмена устройства	Поток-3Н(вер. > 1.03)	103
Изменение состояния	Поток-3Н(вер. > 1.03)	103
Изменение состояния	Поток-БКИ	0
Отключение звука	Поток-БКИ	0
Восстановление корпуса	Поток-БКИ	0
Взлом корпуса	Поток-БКИ	0
Восстановление контакта с устройством	Поток-БКИ	0
Подмена устройства	Поток-БКИ	0
Потерян контакт с устройством	Поток-БКИ	0
Перезапуск устройства	Поток-БКИ	0
Изменение состояния	РИП 12 исп.56	0
Взлом корпуса	РИП 12 исп.56	0
Восстановление корпуса	РИП 12 исп.56	0
Перезапуск устройства	РИП 12 исп.56	0
Потерян контакт с устройством	РИП 12 исп.56	0
Восстановление контакта с устройством	РИП 12 исп.56	0
Подмена устройства	РИП 12 исп.56	0
Подмена устройства	РИП 24 исп.56	0
Восстановление контакта с устройством	РИП 24 исп.56	0
Потерян контакт с устройством	РИП 24 исп.56	0
Перезапуск устройства	РИП 24 исп.56	0
Восстановление корпуса	РИП 24 исп.56	0
Взлом корпуса	РИП 24 исп.56	0
Изменение состояния	РИП 24 исп.56	0
Изменение состояния	РИП-12 исп.50, исп.51,без исп.	0
Восстановление корпуса	РИП-12 исп.50, исп.51,без исп.	0
Перезапуск устройства	РИП-12 исп.50, исп.51,без исп.	0
Взлом корпуса	РИП-12 исп.50, исп.51,без исп.	0
Потерян контакт с устройством	РИП-12 исп.50, исп.51,без исп.	0
Восстановление контакта с устройством	РИП-12 исп.50, исп.51,без исп.	0
Подмена устройства	РИП-12 исп.50, исп.51,без исп.	0
Подмена устройства	РИП-12 исп.54	0
Восстановление контакта с устройством	РИП-12 исп.54	0
Потерян контакт с устройством	РИП-12 исп.54	0
Взлом корпуса	РИП-12 исп.54	0
Перезапуск устройства	РИП-12 исп.54	0
Восстановление корпуса	РИП-12 исп.54	0
Изменение состояния	РИП-12 исп.54	0
Изменение состояния	РИП-24 исп.50, исп.51	0
Восстановление корпуса	РИП-24 исп.50, исп.51	0
Перезапуск устройства	РИП-24 исп.50, исп.51	0
Взлом корпуса	РИП-24 исп.50, исп.51	0
Потерян контакт с устройством	РИП-24 исп.50, исп.51	0
Восстановление контакта с устройством	РИП-24 исп.50, исп.51	0
Подмена устройства	РИП-24 исп.50, исп.51	0
Подмена устройства	РИП-48 исп. 01	0
Восстановление контакта с устройством	РИП-48 исп. 01	0
Изменение состояния	РИП-48 исп. 01	0
Журнал переполнен	РИП-48 исп. 01	0
Журнал заполнен	РИП-48 исп. 01	0
Неисправность канала связи	РИП-48 исп. 01	0
Восстановление канала связи	РИП-48 исп. 01	0
Неисправность источника питания	РИП-48 исп. 01	0
Восстановление корпуса	РИП-48 исп. 01	0
Взлом корпуса	РИП-48 исп. 01	0
Восстановление источника питания	РИП-48 исп. 01	0
Потерян контакт с устройством	РИП-48 исп. 01	0
Перезапуск устройства	РИП-48 исп. 01	0
Подмена устройства	Рупор	0
Восстановление сети 220	Рупор	0
Авария сети	Рупор	0
Ошибка при автоматическом тестировании	Рупор	0
Запуск внутреннего теста	Рупор	0
Взлом корпуса	Рупор	0
Пуск РО	Рупор	0
Отмена пуска РО	Рупор	0
Восстановление корпуса	Рупор	0
Восстановление батареи	Рупор	0
Неисправность батареи	Рупор	0
Потерян контакт с устройством	Рупор	0
Восстановление контакта с устройством	Рупор	0
Изменение состояния	Рупор	0
Вход включен	Рупор	0
Вход отключен	Рупор	0
Восстановление сети 220	Рупор	0
Авария сети	Рупор	0
Ошибка при автоматическом тестировании	Рупор	0
Запуск внутреннего теста	Рупор	0
Взлом корпуса	Рупор	0
Пуск РО	Рупор	0
Отмена пуска РО	Рупор	0
Восстановление корпуса	Рупор	0
Восстановление батареи	Рупор	0
Неисправность батареи	Рупор	0
Потерян контакт с устройством	Рупор	0
Восстановление контакта с устройством	Рупор	0
Подмена устройства	Рупор	0
Изменение состояния	Рупор	0
Вход включен	Рупор	0
Вход отключен	Рупор	0
Вход включен	Рупор 2.00	200
Вход отключен	Рупор 2.00	200
Восстановление корпуса	Рупор 2.00	200
Взлом корпуса	Рупор 2.00	200
Вход отключен	Рупор исп. 01	0
Вход включен	Рупор исп. 01	0
Восстановление корпуса	Рупор исп. 01	0
Отмена пуска РО	Рупор исп. 01	0
Пуск РО	Рупор исп. 01	0
Взлом корпуса	Рупор исп. 01	0
Запуск внутреннего теста	Рупор исп. 01	0
Ошибка при автоматическом тестировании	Рупор исп. 01	0
Авария сети	Рупор исп. 01	0
Восстановление сети 220	Рупор исп. 01	0
Вход отключен	Рупор исп. 01	0
Вход включен	Рупор исп. 01	0
Изменение состояния	Рупор исп. 01	0
Подмена устройства	Рупор исп. 01	0
Восстановление контакта с устройством	Рупор исп. 01	0
Потерян контакт с устройством	Рупор исп. 01	0
Неисправность батареи	Рупор исп. 01	0
Восстановление батареи	Рупор исп. 01	0
Изменение состояния	Рупор исп. 01	0
Восстановление контакта с устройством	Рупор исп. 01	0
Потерян контакт с устройством	Рупор исп. 01	0
Неисправность батареи	Рупор исп. 01	0
Восстановление батареи	Рупор исп. 01	0
Восстановление корпуса	Рупор исп. 01	0
Отмена пуска РО	Рупор исп. 01	0
Пуск РО	Рупор исп. 01	0
Взлом корпуса	Рупор исп. 01	0
Запуск внутреннего теста	Рупор исп. 01	0
Ошибка при автоматическом тестировании	Рупор исп. 01	0
Авария сети	Рупор исп. 01	0
Восстановление сети 220	Рупор исп. 01	0
Подмена устройства	Рупор исп. 01	0
Вход включен	Рупор исп.01	103
Вход отключен	Рупор исп.01	103
Восстановление корпуса	Рупор исп.01	103
Взлом корпуса	Рупор исп.01	103
Взлом корпуса	Рупор исп.02	0
Восстановление корпуса	Рупор исп.02	0
Вход отключен	Рупор исп.02	0
Вход включен	Рупор исп.02	0
Вход включен	Рупор исп.03	0
Вход отключен	Рупор исп.03	0
Восстановление корпуса	Рупор исп.03	0
Взлом корпуса	Рупор исп.03	0
Взлом корпуса	Рупор-200	0
Восстановление корпуса	Рупор-200	0
Вход отключен	Рупор-200	0
Вход включен	Рупор-200	0
Вход отключен	Рупор-300	0
Вход включен	Рупор-300	0
Восстановление корпуса	Рупор-300	0
Взлом корпуса	Рупор-300	0
Восстановление корпуса	Рупор-Диспетчер	0
Взлом корпуса	Рупор-Диспетчер	0
Неисправность источника питания	Рупор-Диспетчер	0
Восстановление источника питания	Рупор-Диспетчер	0
Взлом корпуса	С2000 Периметр	0
Восстановление корпуса	С2000 Периметр	0
Потерян контакт с устройством	С2000 Периметр	0
Восстановление контакта с устройством	С2000 Периметр	0
Неисправность источника питания	С2000 Периметр	0
Восстановление источника питания	С2000 Периметр	0
Изменение состояния	С2000 Периметр	0
Изменение состояния	С2000/C2000М	0
Отключение звука	С2000/C2000М	0
Изменение даты	С2000/C2000М	0
Изменение времени	С2000/C2000М	0
Локальное программирование	С2000/C2000М	0
Взлом корпуса	С2000/C2000М	0
Восстановление корпуса	С2000/C2000М	0
Включение принтера	С2000/C2000М	0
Выключение принтера	С2000/C2000М	0
Отключение ветви интерфейса RS-485	С2000/C2000М	0
Восстановление ветви интерфейса RS-485	С2000/C2000М	0
Потерян контакт с устройством	С2000/C2000М	0
Восстановление контакта с устройством	С2000/C2000М	0
Отметка времени	С2000/C2000М	0
Подмена устройства	С2000/C2000М	0
Включение пульта C2000	С2000/C2000М	0
Отметка даты	С2000/C2000М	0
Локальное программирование	С2000-2	0
Взлом корпуса	С2000-2	0
Восстановление корпуса	С2000-2	0
Неисправность источника питания	С2000-2	0
Восстановление источника питания	С2000-2	0
Восстановление батареи	С2000-2	0
Неисправность батареи	С2000-2	0
Перезапуск устройства	С2000-2	0
Потерян контакт с устройством	С2000-2	0
Восстановление контакта с устройством	С2000-2	0
Подмена устройства	С2000-2	0
Изменение состояния	С2000-2	0
Изменение состояния	С2000-2 (вер > 2.20)	220
Подмена устройства	С2000-2 (вер > 2.20)	220
Восстановление контакта с устройством	С2000-2 (вер > 2.20)	220
Потерян контакт с устройством	С2000-2 (вер > 2.20)	220
Перезапуск устройства	С2000-2 (вер > 2.20)	220
Неисправность батареи	С2000-2 (вер > 2.20)	220
Восстановление батареи	С2000-2 (вер > 2.20)	220
Восстановление источника питания	С2000-2 (вер > 2.20)	220
Неисправность источника питания	С2000-2 (вер > 2.20)	220
Восстановление корпуса	С2000-2 (вер > 2.20)	220
Взлом корпуса	С2000-2 (вер > 2.20)	220
Локальное программирование	С2000-2 (вер > 2.20)	220
Локальное программирование	С2000-4	0
Перезапуск устройства	С2000-4	0
Потерян контакт с устройством	С2000-4	0
Восстановление контакта с устройством	С2000-4	0
Подмена устройства	С2000-4	0
Взлом корпуса	С2000-4	0
Восстановление корпуса	С2000-4	0
Неисправность источника питания	С2000-4	0
Восстановление источника питания	С2000-4	0
Изменение состояния	С2000-4	0
Изменение состояния	С2000-4 (вер. > 3.0)	300
Восстановление источника питания	С2000-4 (вер. > 3.0)	300
Потерян контакт с устройством	С2000-4 (вер. > 3.0)	300
Перезапуск устройства	С2000-4 (вер. > 3.0)	300
Восстановление контакта с устройством	С2000-4 (вер. > 3.0)	300
Неисправность источника питания	С2000-4 (вер. > 3.0)	300
Восстановление корпуса	С2000-4 (вер. > 3.0)	300
Взлом корпуса	С2000-4 (вер. > 3.0)	300
Локальное программирование	С2000-4 (вер. > 3.0)	300
Подмена устройства	С2000-4 (вер. > 3.0)	300
Отметка даты	С2000-Ethernet	0
Включение пульта C2000	С2000-Ethernet	0
Подмена устройства	С2000-Ethernet	0
Отметка времени	С2000-Ethernet	0
Восстановление контакта с устройством	С2000-Ethernet	0
Потерян контакт с устройством	С2000-Ethernet	0
Восстановление ветви интерфейса RS-485	С2000-Ethernet	0
Отключение ветви интерфейса RS-485	С2000-Ethernet	0
